time,temp,MF
0.0000000E+000,2.0000000E+001,0.0000000E+000
5.0500000E+000,7.7359914E+001,2.1118041E-014
1.0000000E+001,1.4805611E+002,4.9254331E-011
1.5000000E+001,1.9555422E+002,5.5849483E-009
2.0000000E+001,2.3287986E+002,1.5120970E-007
2.5000000E+001,2.6375351E+002,1.7834122E-006
3.0000000E+001,2.8999533E+002,1.2223300E-005
3.5000000E+001,3.1257264E+002,5.7011452E-005
4.0050000E+001,3.3211390E+002,1.9984869E-004
4.5050000E+001,3.4873779E+002,5.4963692E-004
5.0050000E+001,3.6237253E+002,1.2197298E-003
5.5050000E+001,3.7307177E+002,2.2376052E-003
6.0050000E+001,3.8102672E+002,3.4798604E-003
6.5050000E+001,3.8673173E+002,4.7500530E-003
7.0050000E+001,3.9079968E+002,5.9042996E-003
7.5050000E+001,3.9375691E+002,6.8895582E-003
8.0050000E+001,3.9597303E+002,7.7107906E-003
8.5050000E+001,3.9768523E+002,8.3940230E-003
9.0050000E+001,3.9904381E+002,8.9674144E-003
9.5050000E+001,4.0014803E+002,9.4550552E-003
1.0005000E+002,4.0106827E+002,9.8762350E-003
1.0505000E+002,4.0185799E+002,1.0246406E-002
1.1005000E+002,4.0255903E+002,1.0578340E-002
1.1505000E+002,4.0320282E+002,1.0882963E-002
1.2005000E+002,4.0380961E+002,1.1169781E-002
1.2505000E+002,4.0438701E+002,1.1446909E-002
1.3005000E+002,4.0492920E+002,1.1720853E-002
1.3505000E+002,4.0541776E+002,1.1996132E-002
1.4005000E+002,4.0582483E+002,1.2274869E-002
1.4505000E+002,4.0611901E+002,1.2556472E-002
1.5005000E+002,4.0627346E+002,1.2837570E-002
1.5500000E+002,4.0627518E+002,1.3111075E-002
1.6000000E+002,4.0613144E+002,1.3371353E-002
1.6500000E+002,4.0586957E+002,1.3612688E-002
1.7000000E+002,4.0553782E+002,1.3828392E-002
1.7500000E+002,4.0519548E+002,1.4015923E-002
1.8000000E+002,4.0490384E+002,1.4175968E-002
1.8500000E+002,4.0471820E+002,1.4312370E-002
1.9000000E+002,4.0468276E+002,1.4431904E-002
1.9500000E+002,4.0482825E+002,1.4544153E-002
2.0000000E+002,4.0517101E+002,1.4661548E-002
2.0500000E+002,4.0571250E+002,1.4799365E-002
2.1000000E+002,4.0643805E+002,1.4975375E-002
2.1500000E+002,4.0731480E+002,1.5208773E-002
2.2000000E+002,4.0828899E+002,1.5518127E-002
2.2500000E+002,4.0928396E+002,1.5918398E-002
2.3000000E+002,4.1020103E+002,1.6417498E-002
2.3500000E+002,4.1092653E+002,1.7013227E-002
2.4000000E+002,4.1134770E+002,1.7691497E-002
2.4500000E+002,4.1137730E+002,1.8426802E-002
2.5000000E+002,4.0558459E+002,2.0242702E-002
2.5500000E+002,4.0990270E+002,2.4392503E-002
2.6000000E+002,4.1072691E+002,2.3371256E-002
2.6500000E+002,4.1109706E+002,2.2745386E-002
2.7000000E+002,4.1150012E+002,2.2567972E-002
2.7500000E+002,4.1189492E+002,2.2598802E-002
2.8000000E+002,4.1227717E+002,2.2738779E-002
2.8500000E+002,4.1264482E+002,2.2955992E-002
2.9000000E+002,4.1297218E+002,2.3247828E-002
2.9500000E+002,4.1320983E+002,2.3621918E-002
3.0000000E+002,4.1330666E+002,2.4084727E-002
3.0500000E+002,4.1324234E+002,2.4634689E-002
3.1000000E+002,4.1305170E+002,2.5259823E-002
3.1500000E+002,4.1282370E+002,2.5939450E-002
3.2000000E+002,4.1267303E+002,2.6648297E-002
3.2500000E+002,4.1270062E+002,2.7361397E-002
3.3000000E+002,4.1296197E+002,2.8059204E-002
3.3500000E+002,4.1345068E+002,2.8732321E-002
3.4000000E+002,4.1409438E+002,2.9384296E-002
3.4500000E+002,4.1476006E+002,3.0030325E-002
3.5000000E+002,4.1082473E+002,3.0777523E-002
3.5500000E+002,4.1161608E+002,3.4147442E-002
3.6000000E+002,4.1282090E+002,3.3644375E-002
3.6500000E+002,4.1343087E+002,3.3148104E-002
3.7000000E+002,4.1391763E+002,3.2889512E-002
3.7500000E+002,4.1431882E+002,3.2754485E-002
3.8000000E+002,4.1466501E+002,3.2703387E-002
3.8500000E+002,4.1494991E+002,3.2725617E-002
3.9000000E+002,4.1151136E+002,3.2733237E-002
3.9500000E+002,4.1249363E+002,3.3318171E-002
4.0000000E+002,4.1338241E+002,3.3258401E-002
4.0500000E+002,4.1407100E+002,3.3254620E-002
4.1000000E+002,4.1463478E+002,3.3298248E-002
4.1500000E+002,4.1513105E+002,3.3376853E-002
4.2000000E+002,4.1558445E+002,3.3488855E-002
4.2500000E+002,4.1468544E+002,3.3568560E-002
4.3000000E+002,4.1279947E+002,3.4130044E-002
4.3500000E+002,4.1413312E+002,3.4082631E-002
4.4000000E+002,4.1522569E+002,3.4069475E-002
4.4500000E+002,4.1478070E+002,3.4008804E-002
4.5000000E+002,4.1554608E+002,3.4154011E-002
4.5500000E+002,4.1763870E+002,3.4060838E-002
4.6000000E+002,4.2003837E+002,3.3809097E-002
4.6500000E+002,4.2155611E+002,3.3158747E-002
4.7000000E+002,4.2673445E+002,3.1835081E-002
4.7500000E+002,4.3322112E+002,2.7985583E-002
4.8000000E+002,4.4237782E+002,2.2000457E-002
4.8500000E+002,4.5173894E+002,1.2435374E-002
4.9000000E+002,4.5401308E+002,3.8755528E-003
4.9500000E+002,4.4198270E+002,7.6689526E-004
5.0000000E+002,4.1941387E+002,1.5515328E-004
5.0500000E+002,3.9967828E+002,4.7199421E-005
5.1000000E+002,3.8663536E+002,2.1940887E-005
5.1500000E+002,3.7799413E+002,1.3196090E-005
5.2000000E+002,3.7181383E+002,9.1446337E-006
5.2500000E+002,3.6708527E+002,6.8887197E-006
5.3000000E+002,3.6328687E+002,5.4755274E-006
5.3500000E+002,3.6012719E+002,4.5165943E-006
5.4000000E+002,3.5743017E+002,3.8275766E-006
5.4500000E+002,3.5508234E+002,3.3108392E-006
5.5000000E+002,3.5300670E+002,2.9102343E-006
5.5500000E+002,3.5114878E+002,2.5913473E-006
5.6000000E+002,3.4946872E+002,2.3319871E-006
5.6500000E+002,3.4793654E+002,2.1172411E-006
5.7000000E+002,3.4652914E+002,1.9367389E-006
5.7500000E+002,3.4522837E+002,1.7830576E-006
5.8000000E+002,3.4401972E+002,1.6507515E-006
5.8500000E+002,3.4289140E+002,1.5357395E-006
5.9000000E+002,3.4183374E+002,1.4349062E-006
5.9500000E+002,3.4083868E+002,1.3458337E-006
6.0000000E+002,3.3989945E+002,1.2666184E-006
