Time,Temp,Mass,MassLossRate,MCC,DSC
 1.2000000E+001, 2.1000317E+001, 9.9962682E-001, 3.1696356E-005, 5.9241803E-022, 1.8922098E-001
 2.4000000E+001, 2.2000315E+001, 9.9923915E-001, 3.2922468E-005, 8.5246051E-022, 1.9215479E-001
 3.6000000E+001, 2.3000315E+001, 9.9883658E-001, 3.4180674E-005, 1.2236379E-021, 1.9516373E-001
 4.8000000E+001, 2.4000313E+001, 9.9841869E-001, 3.5470934E-005, 1.7521650E-021, 1.9824758E-001
 6.0000000E+001, 2.5000311E+001, 9.9798512E-001, 3.6793157E-005, 2.5029441E-021, 2.0140593E-001
 7.2000000E+001, 2.6000309E+001, 9.9753547E-001, 3.8147180E-005, 3.5669074E-021, 2.0463832E-001
 8.4000000E+001, 2.7000307E+001, 9.9706942E-001, 3.9532759E-005, 5.0711616E-021, 2.0794392E-001
 9.6000000E+001, 2.8000305E+001, 9.9658656E-001, 4.0949584E-005, 7.1929687E-021, 2.1132186E-001
 1.0800000E+002, 2.9000303E+001, 9.9608654E-001, 4.2397260E-005, 1.0178975E-020, 2.1477103E-001
 1.2000000E+002, 3.0000301E+001, 9.9556887E-001, 4.3875301E-005, 1.4371599E-020, 2.1829008E-001
 1.3200000E+002, 3.1000299E+001, 9.9503338E-001, 4.5383142E-005, 2.0245153E-020, 2.2187743E-001
 1.4400000E+002, 3.2000298E+001, 9.9447960E-001, 4.6920115E-005, 2.8455204E-020, 2.2553129E-001
 1.5600000E+002, 3.3000298E+001, 9.9390715E-001, 4.8485457E-005, 3.9905846E-020, 2.2924975E-001
 1.6800000E+002, 3.4000294E+001, 9.9331582E-001, 5.0078306E-005, 5.5841225E-020, 2.3303038E-001
 1.8000000E+002, 3.5000294E+001, 9.9270517E-001, 5.1697687E-005, 7.7969780E-020, 2.3687068E-001
 1.9200000E+002, 3.6000290E+001, 9.9207491E-001, 5.3342519E-005, 1.0863251E-019, 2.4076788E-001
 2.0400000E+002, 3.7000286E+001, 9.9142480E-001, 5.5011606E-005, 1.5103044E-019, 2.4471879E-001
 2.1600000E+002, 3.8000286E+001, 9.9075454E-001, 5.6703630E-005, 2.0953149E-019, 2.4872012E-001
 2.2800000E+002, 3.9000282E+001, 9.9006385E-001, 5.8417158E-005, 2.9008358E-019, 2.5276810E-001
 2.4000000E+002, 4.0000282E+001, 9.8935246E-001, 6.0150625E-005, 4.0076955E-019, 2.5685874E-001
 2.5200000E+002, 4.1000278E+001, 9.8862010E-001, 6.1902349E-005, 5.5255127E-019, 2.6098779E-001
 2.6400000E+002, 4.2000278E+001, 9.8786670E-001, 6.3670494E-005, 7.6026558E-019, 2.6515058E-001
 2.7600000E+002, 4.3000275E+001, 9.8709196E-001, 6.5453118E-005, 1.0439539E-018, 2.6934209E-001
 2.8800000E+002, 4.4000271E+001, 9.8629576E-001, 6.7248126E-005, 1.4306350E-018, 2.7355713E-001
 3.0000000E+002, 4.5000271E+001, 9.8547792E-001, 6.9053291E-005, 1.9566633E-018, 2.7779004E-001
 3.1200000E+002, 4.6000267E+001, 9.8463845E-001, 7.0866248E-005, 2.6708603E-018, 2.8203487E-001
 3.2400000E+002, 4.7000267E+001, 9.8377711E-001, 7.2684488E-005, 3.6386645E-018, 2.8628528E-001
 3.3600000E+002, 4.8000263E+001, 9.8289394E-001, 7.4505369E-005, 4.9476228E-018, 2.9053468E-001
 3.4800000E+002, 4.9000263E+001, 9.8198897E-001, 7.6326098E-005, 6.7146386E-018, 2.9477605E-001
 3.6000000E+002, 5.0000259E+001, 9.8106211E-001, 7.8143756E-005, 9.0955266E-018, 2.9900211E-001
