,# Time_Alu_75,Mass_Norm_Alu_75,SG_Alu_75,# Time_ISO_75,Mass_Norm_ISO_75,SG_ISO_75
0,0,100,-0.106571036,0,100,-0.054256883
1,1,100,-0.089551452,1,100,-0.040440857
2,2,99.88817332,-0.072952926,2,99.99900063,-0.026917375
3,3,99.85894763,-0.056770234,3,99.97847563,-0.013683506
4,4,99.91139992,-0.040998152,4,99.91705422,-0.000736319
5,5,99.92939721,-0.025631455,5,99.90167967,0.011927117
6,6,99.90370894,-0.010664921,6,99.9036016,0.024309732
7,7,99.94754771,0.003906674,7,99.88161594,0.036414457
8,8,99.93401179,0.018088555,8,99.83633782,0.048244223
9,9,99.86371635,0.031885944,9,99.80535807,0.059801961
10,10,99.93616517,0.045304065,10,99.81957965,0.071090602
11,11,99.96769792,0.058348143,11,99.86631819,0.082113076
12,12,99.92755119,0.071023401,12,99.93365878,0.092872314
13,13,99.96846725,0.083335063,13,99.91728509,0.103371247
14,14,99.99338572,0.095288352,14,99.9331207,0.113612806
15,15,99.95846875,0.106888493,15,99.96010297,0.123599922
16,16,99.95846875,0.118140708,16,99.99185144,0.133335524
17,17,99.95969959,0.129050222,17,99.9620249,0.142822545
18,18,99.91139992,0.139622258,18,99.78567883,0.152063915
19,19,99.86525455,0.14986204,19,99.69074108,0.161062565
20,20,99.90001737,0.159774792,20,99.67329075,0.169821425
21,21,99.80757203,0.169365738,21,99.57635427,0.178343426
22,22,99.67821003,0.178640101,22,99.36626121,0.186631499
23,23,99.46224764,0.187603105,23,99.25602572,0.194688576
24,24,99.33488534,0.196259974,24,99.11765451,0.202517586
25,25,99.28566312,0.204615931,25,99.04454881,0.21012146
26,26,99.17275929,0.212676201,26,98.9848955,0.21750313
27,27,98.77682863,0.220446006,27,98.83107317,0.224665526
28,28,98.69776507,0.227930571,28,98.75381593,0.231611578
29,29,98.69176644,0.23513512,29,98.62113349,0.238344218
30,30,98.69745771,0.242064875,30,98.57108963,0.244866377
31,31,98.61793311,0.248725062,31,98.5185087,0.251180985
32,32,98.42519732,0.255120903,32,98.26874925,0.257290973
33,33,98.06003008,0.261257622,33,97.96079692,0.263199271
34,34,97.93635935,0.267140443,34,97.83457198,0.268908811
35,35,97.9422043,0.272774591,35,97.75193387,0.274422524
36,36,97.89282841,0.278165287,36,97.52938711,0.27974334
37,37,97.72762643,0.283317757,37,97.38209908,0.284874189
38,38,97.51027953,0.288237224,38,97.26017883,0.289818004
39,39,97.2572468,0.292928912,39,97.16477957,0.294577714
40,40,97.16480146,0.297398044,40,97.07406994,0.29915625
41,41,97.12496209,0.301649844,41,96.96998403,0.303556544
42,42,97.05651267,0.305689536,42,96.83084456,0.307781525
43,43,96.91115308,0.309522344,43,96.81562384,0.311834126
44,44,96.71303384,0.313153491,44,96.64750313,0.315717275
45,45,96.62889465,0.316588201,45,96.4593955,0.319433905
46,46,96.52537413,0.319831698,46,96.30695679,0.322986946
47,47,96.35540389,0.322889205,47,96.12269303,0.326379329
48,48,95.97039381,0.325765947,48,96.00038853,0.329613985
49,49,95.73520422,0.328467147,49,95.80451659,0.332693844
50,50,95.69598004,0.330998028,50,95.39547692,0.335621837
51,51,95.6332219,0.333363815,51,95.29700298,0.338400896
52,52,95.54339144,0.335569731,52,95.18384618,0.34103395
53,53,95.44725407,0.337621,53,95.11004832,0.343523931
54,54,95.30558651,0.339522846,54,94.89465075,0.345873769
55,55,95.14238423,0.341280492,55,94.66910634,0.348086396
56,56,94.95072513,0.342899162,56,94.44963471,0.350164741
57,57,94.77829369,0.34438408,57,94.43487528,0.352111737
58,58,94.65554596,0.345740469,58,94.35177566,0.353930313
59,59,94.47342385,0.346973554,59,94.19334096,0.3556234
60,60,94.16593867,0.348088558,60,94.10893453,0.35719393
61,61,94.03965306,0.343558995,61,93.99285689,0.353950331
62,62,93.93074909,0.350807073,62,93.91867456,0.353402354
63,63,93.84537907,0.358251504,63,93.43099402,0.357068634
64,64,93.71494038,0.363188466,64,93.2254363,0.360855497
65,65,93.41699219,0.359129364,65,93.19168932,0.363812653
66,66,93.35238803,0.355259773,66,93.08837214,0.362763612
67,67,93.28763018,0.359586939,67,92.87466586,0.362815723
68,68,93.11473724,0.364075988,68,92.61698849,0.368463932
69,69,92.83094062,0.366063515,69,92.58416384,0.368280896
70,70,92.41316695,0.365053826,70,92.47423602,0.368026123
71,71,92.34456339,0.362866729,71,92.23431597,0.371222768
72,72,92.32087529,0.363189633,72,92.16105643,0.37127756
73,73,92.25627113,0.364945327,73,91.9693358,0.369303931
74,74,92.08060962,0.366185254,74,91.88539088,0.367129132
75,75,91.91325427,0.365994166,75,91.67675825,0.363039046
76,76,91.79004458,0.36118029,76,91.19822541,0.359352976
77,77,91.64222424,0.35594209,77,91.02549234,0.357772265
78,78,91.48379023,0.354173373,78,91.043865,0.360535728
79,79,91.34704508,0.354025851,79,90.99405154,0.365854539
80,80,91.20337782,0.354727608,80,90.76089642,0.366306283
81,81,90.93788539,0.355042546,81,90.55702999,0.362143697
82,82,90.70484919,0.355867754,82,90.46854928,0.360694235
83,83,90.4591996,0.357534497,83,90.33025534,0.362642393
84,84,90.40843919,0.355073078,84,90.2410059,0.362282213
85,85,90.27999974,0.351848849,85,90.155908,0.360925214
86,86,90.14586947,0.354120674,86,89.95011964,0.358116776
87,87,89.83838429,0.36195356,87,89.59350705,0.358911667
88,88,89.72748062,0.363086257,88,89.35735406,0.361995012
89,89,89.58427487,0.360378845,89,89.22044351,0.363296579
90,90,89.303862,0.3616538,90,89.09437241,0.362128197
91,91,89.25433242,0.360759875,91,88.76943126,0.357252699
92,92,89.20726358,0.360890345,92,88.56279736,0.356361038
93,93,89.04375348,0.363597253,93,88.42803938,0.362395972
94,94,88.91239178,0.366351686,94,88.31818837,0.367003358
95,95,88.77810737,0.36493299,95,88.12039472,0.367192406
96,96,88.51169239,0.363152503,96,87.94573994,0.370345637
97,97,88.07499935,0.363950773,97,87.87255721,0.373513025
98,98,88.14160275,0.363381849,98,87.79945105,0.371834036
99,99,87.95363569,0.363989072,99,87.71542933,0.371361314
100,100,87.70414085,0.366433435,100,87.47420246,0.371124527
101,101,87.61661745,0.363808606,101,87.37765022,0.371027146
102,102,87.50402144,0.361570561,102,87.27886883,0.371668828
103,103,87.34020398,0.36324665,103,87.10759664,0.366295652
104,104,87.00995371,0.365060465,104,86.94577936,0.363900716
105,105,86.83306136,0.364170398,105,86.68387387,0.365929075
106,106,86.65924541,0.36274121,106,86.37031003,0.366640501
107,107,86.56972278,0.363957931,107,86.05812981,0.367422603
108,108,86.50450343,0.365462235,108,85.90154024,0.368010189
109,109,86.27331278,0.367520379,109,85.80137501,0.368522969
110,110,85.82739057,0.366839511,110,85.57682974,0.372414895
111,111,85.87292076,0.363898423,111,85.45014352,0.376810694
112,112,85.7554028,0.363030224,112,85.35512873,0.378651308
113,113,85.61081254,0.359726171,113,85.12197362,0.37615499
114,114,85.32347803,0.358654293,114,84.97199493,0.371711895
115,115,85.18627137,0.362896944,115,84.90465434,0.373627043
116,116,85.01983856,0.366921328,116,84.79103672,0.378077894
117,117,84.82156564,0.370037401,117,84.50553132,0.377546026
118,118,84.76926704,0.365480784,118,84.44818419,0.374838298
119,119,84.61175603,0.361492044,119,84.35539879,0.373328715
120,120,84.44932262,0.365268996,120,84.2573091,0.369672794
121,121,84.04339347,0.368924306,121,83.89108753,0.369358477
122,122,83.94541053,0.371783517,122,83.57690857,0.367028026
123,123,83.82035529,0.368207044,123,83.37019764,0.370154207
124,124,83.80635786,0.361156148,124,83.30547091,0.379378074
125,125,83.67853359,0.365204754,125,83.08684482,0.377204016
126,126,83.201386,0.371324385,126,82.97022909,0.369178558
127,127,82.99249939,0.370363594,127,82.59901044,0.367860827
128,128,83.016649,0.366995574,128,82.55296382,0.373916981
129,129,82.90420713,0.366759015,129,82.43949957,0.373840558
130,130,82.68224565,0.374173704,130,82.10794755,0.371063545
131,131,82.47074416,0.377787051,131,82.04383571,0.375021416
132,132,82.29585152,0.375512924,132,81.98810284,0.378167049
133,133,82.13710968,0.374868978,133,81.84781017,0.379435395
134,134,82.09157903,0.370061295,134,81.62134296,0.377464315
135,135,82.00344092,0.36595356,135,81.40548433,0.372983523
136,136,81.79686138,0.36846173,136,81.12682068,0.377232583
137,137,81.41723521,0.371618322,137,80.97230666,0.383459905
138,138,81.21450138,0.371841016,138,80.816716,0.383063616
139,139,80.99992304,0.369127586,139,80.75637099,0.379914284
140,140,80.88886569,0.366679235,140,80.69602599,0.378643156
141,141,80.84671926,0.366993668,141,80.52705975,0.382302618
142,142,80.71474191,0.37115304,142,80.20088859,0.384648711
143,143,80.55999994,0.376264719,143,79.97249968,0.382406581
144,144,80.32727109,0.377039776,144,79.81460307,0.378938066
145,145,79.9241105,0.37260915,145,79.53886072,0.375299511
146,146,79.81289901,0.367856471,146,79.33653151,0.371044608
147,147,79.77859723,0.368355792,147,79.07547179,0.370858677
148,148,79.64123643,0.369598083,148,79.01082164,0.375314498
149,149,79.25791869,0.370296183,149,78.88828673,0.378434308
150,150,79.26499447,0.375627441,150,78.7586024,0.379674874
151,151,79.17900927,0.376836531,151,78.49884949,0.382242462
152,152,79.06041463,0.368032034,152,78.25700773,0.384912054
153,153,78.85829599,0.361637056,153,78.04599211,0.384150091
154,154,78.59188101,0.362656435,154,77.94851731,0.381481053
155,155,78.42329483,0.36452516,155,77.79369584,0.380580947
156,156,78.28670336,0.367579698,156,77.69091675,0.383166665
157,157,78.18333651,0.375123418,157,77.58829172,0.384123665
158,158,78.03213197,0.372455049,158,77.4115614,0.381711959
159,159,77.70865012,0.366322005,159,77.13897077,0.377405989
160,160,77.51652951,0.370188813,160,77.05164326,0.377222016
161,161,77.38086105,0.368061361,161,76.84039677,0.378388227
162,162,77.13474996,0.36548124,162,76.77036598,0.377543278
163,163,77.05368717,0.368668333,163,76.52637188,0.378416837
164,164,76.94509056,0.372756023,164,76.23279495,0.377882525
165,165,76.76250694,0.375530602,165,76.12271306,0.380012602
166,166,76.56284951,0.371859435,166,75.92292091,0.385629079
167,167,76.450715,0.368533661,167,75.78800933,0.389497207
168,168,76.32719795,0.367274945,168,75.59029249,0.39134981
169,169,75.96064667,0.365826531,169,75.47974955,0.391882937
170,170,75.74837585,0.374347273,170,75.29487067,0.389484494
171,171,75.53518203,0.37917083,171,75.08216375,0.386351843
172,172,75.36428878,0.369670285,172,75.00705909,0.385677568
173,173,75.2010865,0.364213656,173,74.92388266,0.385252031
174,174,74.89852373,0.370867625,174,74.61293268,0.383197373
175,175,74.83899566,0.376513904,175,74.32427534,0.381377889
176,176,74.80223267,0.37395915,176,74.20850491,0.380056359
177,177,74.72716898,0.371868586,177,74.05991007,0.381365779
178,178,74.5896545,0.371515903,178,73.87941291,0.382783176
179,179,74.14004026,0.370326813,179,73.73012614,0.380558622
180,180,74.00775555,0.363188461,180,73.45315355,0.37380802
181,181,73.80194533,0.364933018,181,73.20531581,0.371909584
182,182,73.75626101,0.374327153,182,73.14374079,0.377980862
183,183,73.67227551,0.374767338,183,72.87084248,0.38188926
184,184,73.28834258,0.372013115,184,72.77152301,0.380209245
185,185,73.00869904,0.368521499,185,72.65052533,0.374669506
186,186,73.0219276,0.373335675,186,72.35164411,0.372376023
187,187,72.9620917,0.378941937,187,71.9682799,0.378867468
188,188,72.83611345,0.370149973,188,71.86257973,0.381310153
189,189,72.52447565,0.363597605,189,71.74212036,0.37602304
190,190,72.37896238,0.366261632,190,71.51065654,0.380978401
191,191,72.22852716,0.36659746,191,71.40372637,0.385829888
192,192,72.07670743,0.368320116,192,71.33769282,0.380199626
193,193,71.9762633,0.371849127,193,71.26696988,0.37539141
194,194,71.87704953,0.371229147,194,71.13467193,0.375629108
195,195,71.41190013,0.364378938,195,70.85124207,0.376095139
196,196,71.25223528,0.35844069,196,70.59064363,0.378957061
197,197,71.22162554,0.362606834,197,70.37847457,0.38267116
198,198,71.16517386,0.366737159,198,70.2467147,0.382237971
199,199,70.93659809,0.369817298,199,70.1531608,0.380087117
200,200,70.70679195,0.374281402,200,69.98680819,0.377661918
201,201,70.5037503,0.370754869,201,69.77656107,0.377439726
202,202,70.32670428,0.362988386,202,69.73927789,0.37966228
203,203,70.2727138,0.361375127,203,69.61036229,0.382168567
204,204,70.16411719,0.364943517,204,69.37297929,0.384025111
205,205,70.0212188,0.365877039,205,69.14066994,0.386735023
206,206,69.70773498,0.366254122,206,68.93649606,0.386394353
207,207,69.45547111,0.367082399,207,68.58049836,0.385266291
208,208,69.2491994,0.365087457,208,68.34288472,0.384373977
209,209,69.08707381,0.367538165,209,68.213354,0.380853234
210,210,69.05830962,0.370928182,210,68.13778828,0.380059262
211,211,68.96801766,0.369613092,211,68.02947448,0.383044504
212,212,68.7655912,0.359802003,212,67.83337237,0.386534153
213,213,68.32812929,0.354007686,213,67.61882055,0.386152063
214,214,68.12031892,0.361415248,214,67.3902778,0.385410972
215,215,68.04048696,0.366632843,215,67.14874349,0.387121673
216,216,67.99495632,0.367582614,216,66.96363396,0.38642917
217,217,67.90358767,0.366132547,217,66.85416719,0.381689036
218,218,67.74330763,0.3617194,218,66.70995408,0.378769725
219,219,67.39213829,0.36172742,219,66.50547252,0.380974682
220,220,67.27277432,0.364702913,220,66.25886479,0.3781331
221,221,67.10772602,0.359870275,221,66.11934084,0.373614414
222,222,66.80685559,0.360397005,222,65.95560185,0.372962782
223,223,66.76101712,0.364945229,223,65.88149656,0.375035961
224,224,66.73379113,0.363824527,224,65.74243389,0.380261766
225,225,66.56151336,0.363582707,225,65.5692393,0.380906381
226,226,66.40323349,0.366064138,226,65.51296857,0.378377908
227,227,65.99453531,0.366455194,227,65.39304706,0.376879008
228,228,65.89778275,0.362246519,228,65.18410722,0.377990099
229,229,65.72812034,0.361769916,229,65.0678755,0.378168554
230,230,65.57522392,0.366010012,230,64.96117597,0.375445934
231,231,65.55784227,0.368666451,231,64.59702994,0.374817265
232,232,65.4400165,0.369247316,232,64.40315697,0.374749203
233,233,64.95133221,0.364093404,233,64.3010698,0.37059167
234,234,64.84981139,0.364794982,234,64.02748003,0.370813169
235,235,64.89380384,0.367031478,235,63.77364607,0.372677168
236,236,64.78874512,0.363046664,236,63.67048296,0.368932197
237,237,64.49525783,0.363418329,237,63.51712168,0.368268235
238,238,64.29929197,0.36195311,238,63.35907147,0.371042985
239,239,64.2040776,0.365064534,239,63.26159666,0.372105127
240,240,63.99042274,0.366887971,240,63.07656394,0.375029175
241,241,63.5003544,0.366241834,241,62.70234766,0.3806639
242,242,63.52681107,0.367692333,242,62.52915353,0.377860002
243,243,63.52865709,0.363778369,243,62.38440186,0.373067507
