s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.2000000E+001, 2.1000355E+001, 9.9997324E-001, 2.3266653E-006, 0.0000000E+000, 1.1582267E-001
 2.4000000E+001, 2.2000355E+001, 9.9994409E-001, 2.5290656E-006, 0.0000000E+000, 1.1631918E-001
 3.6000000E+001, 2.3000355E+001, 9.9991244E-001, 2.7474498E-006, 0.0000000E+000, 1.1685477E-001
 4.8000000E+001, 2.4000355E+001, 9.9987811E-001, 2.9829403E-006, 0.0000000E+000, 1.1743229E-001
 6.0000000E+001, 2.5000355E+001, 9.9984080E-001, 3.2367259E-006, 0.0000000E+000, 1.1805457E-001
 7.2000000E+001, 2.6000355E+001, 9.9980032E-001, 3.5100663E-006, 0.0000000E+000, 1.1872465E-001
 8.4000000E+001, 2.7000353E+001, 9.9975646E-001, 3.8042936E-006, 0.0000000E+000, 1.1944587E-001
 9.6000000E+001, 2.8000353E+001, 9.9970895E-001, 4.1208164E-006, 0.0000000E+000, 1.2022161E-001
 1.0800000E+002, 2.9000353E+001, 9.9965745E-001, 4.4611220E-006, 0.0000000E+000, 1.2105553E-001
 1.2000000E+002, 3.0000353E+001, 9.9960178E-001, 4.8267807E-006, 0.0000000E+000, 1.2195142E-001
 1.3200000E+002, 3.1000353E+001, 9.9954152E-001, 5.2194464E-006, 0.0000000E+000, 1.2291332E-001
 1.4400000E+002, 3.2000351E+001, 9.9947637E-001, 5.6408626E-006, 0.0000000E+000, 1.2394547E-001
 1.5600000E+002, 3.3000351E+001, 9.9940598E-001, 6.0928623E-006, 0.0000000E+000, 1.2505241E-001
 1.6800000E+002, 3.4000351E+001, 9.9932998E-001, 6.5773729E-006, 0.0000000E+000, 1.2623872E-001
 1.8000000E+002, 3.5000351E+001, 9.9924803E-001, 7.0964170E-006, 0.0000000E+000, 1.2750936E-001
 1.9200000E+002, 3.6000347E+001, 9.9915951E-001, 7.6521155E-006, 0.0000000E+000, 1.2886956E-001
 2.0400000E+002, 3.7000347E+001, 9.9906421E-001, 8.2466904E-006, 0.0000000E+000, 1.3032463E-001
 2.1600000E+002, 3.8000347E+001, 9.9896145E-001, 8.8824654E-006, 0.0000000E+000, 1.3188025E-001
 2.2800000E+002, 3.9000347E+001, 9.9885082E-001, 9.5618661E-006, 0.0000000E+000, 1.3354233E-001
 2.4000000E+002, 4.0000347E+001, 9.9873179E-001, 1.0287425E-005, 0.0000000E+000, 1.3531703E-001
 2.5200000E+002, 4.1000343E+001, 9.9860370E-001, 1.1061776E-005, 0.0000000E+000, 1.3721071E-001
 2.6400000E+002, 4.2000343E+001, 9.9846607E-001, 1.1887660E-005, 0.0000000E+000, 1.3923003E-001
 2.7600000E+002, 4.3000343E+001, 9.9831820E-001, 1.2767920E-005, 0.0000000E+000, 1.4138190E-001
 2.8800000E+002, 4.4000340E+001, 9.9815941E-001, 1.3705504E-005, 1.6623527E-038, 1.4367345E-001
 3.0000000E+002, 4.5000340E+001, 9.9798900E-001, 1.4703454E-005, 3.1095519E-038, 1.4611205E-001
 3.1200000E+002, 4.6000340E+001, 9.9780625E-001, 1.5764912E-005, 5.7938608E-038, 1.4870535E-001
 3.2400000E+002, 4.7000336E+001, 9.9761039E-001, 1.6893109E-005, 1.0753501E-037, 1.5146112E-001
